image,surface,text_type,text
paper-4,paper,printed,"50.87
ТРЕБОВАНИЯ БЕЗОПАСНОСТИ
ЦЕМЕНТ СООТВЕТСТВУЕТ
ТРЕБОВАНИЯМ ГОСТ 31108-2016
И гоСт 30515-2013
SAFETY REQUIREMENTS
CEMENT FULLY COMPUJES WITH GOST 31108-2016 AND GOST 30515-2013 STAN
(DARDS
ОБЛАСТИ ПРИМЕНЕНИЯ
ВОЗВЕДЕНИЕ СТЕН И ПОЛОВ ВНУТРЕННИХ ПОМЕЩЕНИЙ
ПРОИЗВОДСТВО КЛАДОЧНЫХ И ШТУКАТУРНЫХ РАБОТ
ПРАВИЛА ХРАНЕНИЯ
ХРАНИТЬ В СУХИХ
КРЫТЫХ ПОМЕЩЕНИЯХ
УВЛАЖНЕНИЕ
НЕ ДОПУСКАЕТСЯ
APPLICATION
INDOOR WALLS AND FLOORS CONSTRUCTION
MASONRY AND PLASTER WORKS
Pap
STORAGE RULES
STORE IN DRY ROOFED
FACILITIES, DAMPENING IS NOT ALLOWED
НОМЕР СЕРТИФИКАТА СРОК ЕГО ДЕЙСТВИЯ ЗНАК РСТ И КОД, ОРГАНА, ВЫДАВШЕГО СЕРТИФИКАТ, СМ. НА БОКОВОЙ СТОРОНЕ УПАКОВКИ
ПРИМЕРЫ ПРИГОТОВЛЕНИЯ СТРОИТЕЛЬНЫХ СМЕСЕЙ
ПЕРЕД ДОБАВЛЕНИЕМ ВОДЫ ТЩАТЕЛЬНО РАЗМЕШАТЬ СУЮЛО СМЕСЬ
РАСКОД РАССЧИТАН ДЛЯ СУХИХ МАТЕРИАЛОВ. ПРИ ПРИГОТОВЛЕНИЙ СМЕСЬ
АДРЕС ПРОИЗВОДСТВА:
ЦЕНТРАЛЬНЫЙ ОФИС ПРОДАЖ CENTRAL SALES OFFICE
АО «ЕВРОЦЕМЕНТ ГРУП»
EUROCEMENT GROUP ISC
РОССИЙСКАЯ ФЕДЕРАЦИЯ, 107045
M.GOLOVIN PER. 3, BLD 1,
МОСКВА, М.ГОЛОВИН ГЕР, Д.3, СТР1 MOSCOW, RUSSIAN FEDERATION,
107045
ТЕЛ. +7 (495) 737 55 00
PHONE +7 (495) 737 5500
ГДЕ КУПИТЬ ЕВРОЦЕМЕНТ
WWW.EUROCEMENT.RU
БОЛЬШЕ
8 800 700 63 63"
paper-1,paper,printed,"EWL
ПЕСКОБЕТОН
M-300
40 RU
COXAR CHEC)"
paper-2,paper,printed,"ecomaterial
basic
EMENT®
ЦЕМЕНТ
ССПЦ 500-Д20
ЕНТ груп
ЦЕМЕНТ,
ССПИ 500-Д20
LHAWan
ozti-oos tUDo
ラック
1 GOST
115-97
E OF
URES
70465,
•NEWEI
онП.
OZ0-009 TILDO
piseg
URO
EMENT
18РОЦЕМ
URO
EMENT
ЕВРОЦЕМЕНТ груп
UF
ukds swauniodas
LNENEI"
paper-3,paper,printed,"НЕ БРОСАТЬ!
Производитель / Manufacturor
ОЛОКЫСК»
153110, Россия, Башкортостан, г. Сторлитамах,
ул. Техническая, 32
SC «BSC», 32, Tokhnicheskaya Street, Stettitamat
Bashkortostan, 453110, Russia
TEL/FAX +7(3473) 29-76-20, 29-79-14
MAM 130 8001.2698, 150
31-009,150 $600153
СОДА КАЛЬЦИНИРОВАННАЯ
ТЕХНИЧЕСКАЯ марка Б
SODA ASH TECHNICAL.
GRADE B (LIGHTS
ГОСТ/60ST 5100-85
CAS number: 497-19-8
UPAc name: Sodium carbonate
MACCA METTO / NET WEIGHT 25 k / KG
СДЕЛАНО В РОССИИ / MADE IN RUSSIA
Внимание
Warning
вызывает оправаное рал
Causes serious eye Invitation. Wear
protective gloves, protecting clamsio
protection IT IN EYES.
Споциальный продставитоть
Kaustik Europe D.w. OSL.O 1
странах EC / the Special Deputy in EU countries
2993 1 M Barondrecht the Nethoriands del: +31104111114"
paper-5,paper,printed,"Г КВАРЦЕВЫЙ ПЕСОК
ИРАНОРНАЯ КРОШКА
ПЛЕНКА
СОЛЬ ТЕХНИЧЕСКАЯ
А ТАБЛЕТИ
ИРОВАННАЯ
КИРПИЧ
ОБШИЦОВОЧНЫЙ
ХОЛОДНЫЙ АСФАЛЫ
""ОЛМИКС""
ВСЕПОГОДНЫЙ
+35
т. 236-77-77
LITOSIG.RU
ПОРТЛАНОШЕМЕНТ
ПОРТОРНОЦЕМЕНТ
ПОРТЛАНОЦЕМЕНТ
NORTORAQUEMEMY
• ПОРТЛАМОЦЕМЕНТ
пс
по!"
paper-6,paper,printed,"ЦЕМ IVA-L 32,5Б
ПОРТЛАНДЦЕМЕНТ
ЦЕМ I/A-L 32,5Б
ПОРТЛАНДЦЕМЕНТ
ЦЕМ ША-Щ 32,5Б
ПОРТЛАНДЦЕМЕНТ
LHaWahUHVULdOn
gg'ze m-v/ wah
ЦЕМ П/А-Ш 32,5Б
DORTLANDCEMENT
1073108-2003
ИЦЕМЕНТ»
ЦЕМ I/А-Ш 32,5Б
MEM
ОАО «ИСКИТИМИ
INEWEJONVTISO
gg'ZE M-VII D
ЦЕМ І/А-Ш 32.1
ПОРТЛАНДЦЕМЕНТ
ЦЕМ І/А-Ш 32,5Б
ПОРТЛАНДЦЕМЕНТ
ЦЕМ І//А-Ш 32,5Б"
paper-7,paper,printed,"ENSOME
98004
VHRLM navS
вно3
ТАРиТОВА
ИТУкАТУРКА
здоРовь
УДОБНА
EUSHiOiM,
NHSOTA
Hunig
ДЛя зДОРОВЫЯ
ГУДОБНА
ФиМЕНЕНИИ |
ШУМО И
ТЕПЛО изоЛяЦия
SASSESTIOn
ШТУкАОРАЗ
'PKA
ВАША НАДЕЖНАЯ ЗАЩИТА
НЕ СОДЕРЖИТ
ВРЕДНЫХ
Для
ЗДОРОВЬЯ
ГУДОБНА
в ПРИМЕНЕНИЙ
шУмо и тепло изоляция"
paper-8,paper,printed,"ТЕрРАКОТ
1 КЕРАМИЧЕСКИЕ ОТДЕЛОЧНЫЕ ТЕХНОЛОГИИ
www.terrakot.com
СМЕСЬ
КЛАДОЧНАЯ
ГЛИНО-ШАМОТНАЯ
ЖАРОСТОЙКАЯ АЛЯ ПЕЧЕЙ И КАМИНОВ
НАЗИАЧЕнИЕ:
Применяется в качестве раствора для кладки почей заминов и других
поповили
M
+400
11300°C
5
СМЕСЬ
ШТУКАТУРНАЯ"
paper-9,paper,printed,"itox START MH 30.
START MH
ILOX START MH 30
Lito START
30 M
START MH
)Litox START MH 30
STARTINIA
3)Litox START MH 304
START MHI
GLitO START MH 305
РОТБАНД!
РОТБАЙ
1814 POTBARE
220,
kHAUF РотБанД?
LaNg POTEANg
KHAUF РОТБАНД:
(ШЕ РОТБанд
Haps
NONE N 3830 C
30 kr
POTSANS
Т РОТБАНД
START
37 30X
AnECS
АПЕСТ
ToLiter АЛЕСТ
30xt
AnECT S
ПоШок АЛЕСТ 30 кг
АЛЕсТ
АЛЕСТ QUtOX E
- АЛЕСТ ФШоХ [
АЛЕСТ
• GUtOX АЛЕСТ 30 кг
АПЕСТ SUtox
ГАЛЕСТ
ЭТоТ АЛЕСТ 30 кг
РУКАВУКА ГИПСОВА
CATIONSO
ROTBAND®
START
START
START
ow START ourox
START
* START OLtOX
START:
START
ВОЛМА
иг РотБАНД
РОТБАНД
130 кг"
paper-10,paper,printed,"LOUBO BITE
PORTLAND CEMENT
BOPTARA CEMENT
SIVM DORICEN FAOP CENERT»
PORTLAND CEMENT
MURAIN GAYUR CEMENT CECI
СОРТЛАНД СЕМЕНТ
LONDO INTUIM
mie
mi@
PORTLAND CEMENT
MJAXIN GAYUR CEMENT SLO
PORTLAND I
CEMENT
Beater
PORTLAND GEMENT
ПОРТАЛИД GEMEH"
